Category	Question	a	b	c	d	correctanswer	pathOfImage
General Information	On March 4, 2022, President Rodrigo Duterte signs Republic Act No. 11648, raising the age of sexual consent from 12 to _____.	18	21	17	16	16	
General Information	It is a law in the Philippines that aims to address legal issues concerning online interactions and harmful internet behavior in the Philippines. It aims to prevent and punish cybercrime in the country.	Cybercrime Prevention Act	Cyber Identity Theft Act	Cybercrime Act	o Cybersquatting	Cybercrime Prevention Act	
General Information	What right is violated if an individual is imprisoned without proper investigation?	Right to protection of the law	Right to secure persons	Right to due process of law	Right to proper investigation	Right to due process of law	
General Information	Who is the first Filipina Beauty Queen who won Ms. Universe in 1969?	Gloria Diaz	Margie Moran	Pia Wurtzbach	Catriona Gray	Gloria Diaz	
General Information	Philippine president who died through an accident.	Elpidio Quirino	Ramon Magsaysay	Diosdado Macapagal	Manuel Roxas	Ramon Magsaysay	
General Information	The term of office of the President and Vice-president of the Philippines shall be up to how many years?	3 years	4 years	5 years	6 years	6 years	
General Information	He is considered the “Father of Philippine Language.”	Andres Bonifacio	Antonio Luna	Manuel L. Quezon	Apolinario Mabini	Manuel L. Quezon	
General Information	The following shall be exempted from taxation except:	Charitable institutions	Lands and buildings	Non-profit cemeteries	Churches and convents	Lands and buildings	
General Information	Who wrote Romeo and Juliet?						
Science	The following are examples of non-biodegradable waste except:	Styrofoam	Metals	Papers	Plastics	Papers	
Science	Isotopes of an element contain same number of:	Electrons and neutrons.	Protons but different number of neutrons.	Neutrons but different number of protons.	Protons and neutrons.	Protons but different number of neutrons.	
Science	Where are earthquakes most likely to occur?	where Earth's tectonic plates are moving together	where magma cools slowly beneath Earth's surface	where Earth's seafloor is spreading into deep ocean trenches	where Earth's lithosphere is in constant slow motion	where Earth's tectonic plates are moving together	
Science	Scientists once thought that the continents had formed in their current locations. Alfred Wegener first published this theory of continental drift in 1915. Which of the following provides evidence for continental drift?	Movement of the Australian continent was observed.	Plants and animals found in Africa differ from those found in Australia	Africa North America and South America fit together like puzzle pieces.	Africa and South America have the same type of climate.	Africa North America and South America fit together like puzzle pieces.	
Science	If a 10-kilogram object accelerates suddenly at 15 m/s2, how much force was applied to the object?	150 Newtons	100 kilograms	15 Newtons	150 kilograms	150 Newtons	
Science	Organisms in temperate zones are able to time their activities to cues given by the photoperiod, since:	All organisms have a biological clock.	Day length is always constant for a specific locality and season.	All organisms need time to rest.	Light is a limiting factor.	Light is a limiting factor.	
Science	Which particle does not contribute mass to the atom?	Proton	Nucleus	Electron	Neutron	Electron	
Science	During summer, we feel comfortable under a fan because it:	Set the air in motion, thereby increasing the evaporation of sweat.	Throws cool air on us.	Produces air which takes heat away from us.	Produces convection currents.	Set the air in motion, thereby increasing the evaporation of sweat.	
Science	You are at the Kennedy Space Center, sitting in your rocket, ready to launch. You look out the window and view the sky. You are currently sitting at the lowest level of the atmosphere. What is this level called?	Troposphere	Earthosphere	Lithosphere	Terrasphere	Troposphere	
Science	Most of the mass in an atom is made up of _____________________?	electrons and quarks	protons and neutrons	neutrons and electrons	protons and electrons	protons and neutrons	
